region,ownership,brand,2014,2015,2016,2017,2018,2019,2020,2021
UK,Mitsubishi,Mitsubishi,15805,22693,18237,16092,21156,16199,9076,5125
UK,Subaru,Subaru,2793,3455,3612,2679,3141,2997,951,2107
UK,Tata,Land Rover,56200,66567,79534,82653,77906,76546,58595,53111
UK,Tata,Jaguar,18307,23856,34822,35544,37019,36069,25513,18868
UK,Mahindra,Ssangyong,1542,3344,4444,3590,2754,1930,1488,1525
UK,Aston Martin,Aston Martin,589,949,906,1471,1455,1718,876,1048
UK,SAIC,MG,2326,3152,4192,4441,9049,13075,18415,30600
Canada,Volkswagan,Volkswagan,53249,56857,47398,49081,41607,40966,26218,23621
Canada,Volkswagan,Audi,13127,13297,14036,17346,16282,13167,7779,6317
Canada,Volkswagan,Porsche,1806,1903,1936,2403,2837,2409,2577,3041
Canada,Toyota,Toyota,88529,80409,78101,81365,80970,79000,52134,59699
Canada,Toyota,Lexus,8432,7825,6768,6531,5622,4974,3042,4272
Canada,Toyota,Scion,3962,4659,4251,4781,4459,4357,3921,4013
Canada,GM,Nissan,48229,47021,44107,41441,37466,24196,14312,15916
Canada,GM,Infiniti,3794,3920,3547,3597,3477,2449,1310,1308
Canada,GM,Chevrolet,61268,57269,57167,58627,55669,36736,17829,14819
Canada,GM,Buick,9534,8318,8870,3161,1502,1578,368,30
Canada,GM,Cadillac,5577,5278,4223,3810,2774,986,1455,1666
Canada,Hyundai and Kia,Hyundai,93774,86004,82017,70827,60668,54219,32910,34626
Canada,Hyundai and Kia,Kia,43860,40893,38039,39176,37038,35612,28526,29662
Canada,Hyundai and Kia,Genesis,0,0,0,525,1441,1525,1186,1494
Canada,Ford,Ford,60697,53441,45466,36050,29109,20405,9819,5146
Canada,Ford,Lincoln,1651,1302,1492,1573,1271,520,243,50
Canada,Honda,Honda,94851,88558,87072,87590,87380,76622,52472,50819
Canada,Honda,Acura,6698,7808,6753,6360,5840,5308,3481,3346
Canada,Tesla,Tesla,803,2130,1540,1583,7984,11747,14172,15787
Canada,FCA,Fiat,8027,4903,1589,1483,566,334,14172,61
Canada,FCA,Dodge,13438,10256,8320,8817,7196,5468,194,3487
Canada,FCA,Chrysler,15772,15404,10581,7174,3512,1949,3028,795
Canada,FCA,Alfa Romeo,2,122,85,1124,560,281,447,212
Canada,FCA,Maserati,107,110,62,51,29,2,205,164
Canada,Daimler Group,Mercedes-Benz,19234,21202,21243,22781,19819,16794,10384,8671
Canada,Daimler Group,Smart,2550,716,1875,368,345,262,219,221
Canada,BMW,BMW,17994,19734,18034,17367,15327,12327,8203,10229
Canada,BMW,MINI,3350,5512,5848,5185,4466,3703,2739,2704
Canada,Mazda,Mazda,46957,38905,30672,31547,29834,23452,14334,14231
Canada,Geely,Volvo Cars,1984,1759,1307,2135,2080,2245,1417,1556
Canada,Mitsubishi,Mitsubishi,10780,9490,9773,8313,4347,2270,1198,911
Canada,Subaru,Subaru,14003,15458,15413,18471,16239,14170,10281,9082
Canada,Tata,Jaguar,1460,1296,1745,2008,1317,628,370,234
USA,Volkswagan,Volkswagan,333785,306560,275087,262029,189343,171691,137664,101167
USA,Volkswagan,Audi,112734,115154,107752,106652,97071,87499,64287,53616
USA,Volkswagan,Porsche,23561,21750,19564,20788,22965,19770,20571,28010
USA,Volkswagan,Bentley,3003,2686,2581,2405,2395,1882,1553,3350
USA,Volkswagan,Lamborghini,736,1009,1041,1095,1595,2716,2263,2412
USA,Toyota,Toyota,1055933,1054395,998886,910586,801398,769013,608771,652047
USA,Toyota,Lexus,174235,171131,136054,104290,92660,80975,68205,76989
USA,Nissan and Renault,Nissan,789898,775623,757182,674425,559790,510564,310781,323439
USA,Nissan and Renault,Infiniti,65263,64877,53908,57262,48259,33582,19464,16624
USA,FCA,Fiat,46121,42410,32742,26492,15521,9200,2875,1193
USA,FCA,Dodge,282033,250426,203947,163569,147354,157953,130391,132717
USA,FCA,Chrysler,170745,230998,110535,69694,47636,29261,16652,16677
USA,FCA,Alfa Romeo,91,663,516,9310,11757,8848,8315,7711
USA,FCA,Maserati,14690,11700,12534,13711,11402,8150,5214,7682
USA,FCA,Ferrari,2110,2258,2398,2517,2488,2587,2028,2387
USA,GM,Chevrolet,880683,766873,736581,640777,494139,357712,232088,143246
USA,GM,Buick,117771,93425,84845,41592,33991,20142,2726,68
USA,GM,Cadillac,86650,70994,69290,50278,49475,27397,24643,17184
USA,Hyundai and Kia,Hyundai,570505,579985,547808,417055,361199,320611,219608,259175
USA,Hyundai and Kia,Kia,420202,419075,407535,366108,352844,331107,275052,328610
USA,Hyundai and Kia,Genesis,0,0,6948,20594,10312,21236,14867,18570
USA,Ford,Ford,762505,760039,653300,555838,457414,324780,175284,64338
USA,Ford,Lincoln,42169,37778,40746,39552,28610,24311,17780,3141
USA,Honda,Honda,781224,748198,771195,572558,684853,663973,513319,497186
USA,Honda,Acura,57297,67929,53504,48421,43842,42490,36382,40338
USA,Tesla,Tesla,16550,26608,47184,49970,187936,160450,55850,142617
USA,Daimler Group,Mercedes-Benz,212086,205053,181637,173468,150146,139581,95709,86379
USA,BMW,BMW,252278,244767,209231,202021,193465,165549,132580,156804
USA,BMW,MINI,31385,40120,39239,32232,26119,22123,18851,19490
USA,BMW,Rolls-Royce,0,840,921,1373,1466,1389,1119,1362
USA,Mazda,Mazda,188183,183279,150930,119724,104547,80018,58619,64414
